"StichtagDatJahr","StichtagDatMonat","RaumeinheitSort","RaumeinheitLang","GliederungSort","GliederungLang","ZimmerSort","ZimmerLang","GemeinnuetzigSort","GemeinnuetzigLang","EinheitSort","EinheitLang","PreisartSort","PreisartLang","mean","meanl","meanu","qu25","qu25l","qu25u","qu50","qu50l","qu50u","qu75","qu75l","qu75u","Domain","Sample1","Sample2"
2022,"2022.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1321,1306,1335,1073,1045,1105,1302,1285,1323,1529,1511,1551,3935,2596,145
2024,"2024.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1446,1426,1466,1164,1137,1191,1427,1402,1448,1662,1635,1693,4218,2837,154
2022,"2022.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",1318,1250,1387,1096,1050,1149,1221,1195,1268,1418,1348,1511,4488,793,142
2024,"2024.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",1372,1340,1403,1130,1088,1186,1325,1279,1369,1543,1484,1600,4342,887,207
2022,"2022.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",1571,1528,1614,1270,1236,1328,1463,1418,1525,1781,1729,1840,7756,1401,194
2024,"2024.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",1715,1673,1757,1340,1315,1415,1601,1562,1652,1960,1883,2005,7525,1396,266
2022,"2022.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",2068,2010,2126,1610,1556,1693,1961,1884,2044,2280,2205,2470,4670,894,182
2024,"2024.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",2162,2112,2212,1660,1614,1698,2049,1956,2161,2527,2435,2572,4719,943,249
2022,"2022.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",816,799,833,652,638,677,786,779,806,935,915,969,1574,1021,52
2024,"2024.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",869,848,890,717,709,732,846,825,869,984,950,1030,1595,1067,60
2022,"2022.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",906,892,919,745,733,760,893,884,910,1027,1010,1051,4577,2890,97
2024,"2024.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",970,956,985,812,798,819,955,941,976,1104,1070,1124,4410,2864,117
2022,"2022.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1141,1124,1158,919,893,960,1120,1100,1136,1295,1267,1336,2849,1700,155
2024,"2024.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1240,1214,1266,998,977,1042,1205,1186,1221,1419,1398,1450,2807,1740,128
