StichtagDatJahr,StichtagDatMonat,RaumeinheitSort,RaumeinheitLang,GliederungSort,GliederungLang,ZimmerSort,ZimmerLang,GemeinnuetzigSort,GemeinnuetzigLang,EinheitSort,EinheitLang,PreisartSort,PreisartLang,mean,meanl,meanu,qu25,qu25l,qu25u,qu50,qu50l,qu50u,qu75,qu75l,qu75u,Domain,Sample1,Sample2
2024,2024.04,1,Ganze Stadt,4,Bestand Mietverträge 11-20 Jahre,4,4 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,1446.0,1426.0,1466.0,1164.0,1137.0,1191.0,1427.0,1402.0,1448.0,1662.0,1635.0,1693.0,4218,2837,154
2022,2022.04,1,Ganze Stadt,4,Bestand Mietverträge 11-20 Jahre,2,2 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,1318.0,1250.0,1387.0,1096.0,1050.0,1149.0,1221.0,1195.0,1268.0,1418.0,1348.0,1511.0,4488,793,142
2024,2024.04,1,Ganze Stadt,4,Bestand Mietverträge 11-20 Jahre,2,2 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,1372.0,1340.0,1403.0,1130.0,1088.0,1186.0,1325.0,1279.0,1369.0,1543.0,1484.0,1600.0,4342,887,207
2022,2022.04,1,Ganze Stadt,4,Bestand Mietverträge 11-20 Jahre,3,3 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,1571.0,1528.0,1614.0,1270.0,1236.0,1328.0,1463.0,1418.0,1525.0,1781.0,1729.0,1840.0,7756,1401,194
2024,2024.04,1,Ganze Stadt,4,Bestand Mietverträge 11-20 Jahre,3,3 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,1715.0,1673.0,1757.0,1340.0,1315.0,1415.0,1601.0,1562.0,1652.0,1960.0,1883.0,2005.0,7525,1396,266
2022,2022.04,1,Ganze Stadt,4,Bestand Mietverträge 11-20 Jahre,4,4 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,2068.0,2010.0,2126.0,1610.0,1556.0,1693.0,1961.0,1884.0,2044.0,2280.0,2205.0,2470.0,4670,894,182
2024,2024.04,1,Ganze Stadt,4,Bestand Mietverträge 11-20 Jahre,4,4 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,2162.0,2112.0,2212.0,1660.0,1614.0,1698.0,2049.0,1956.0,2161.0,2527.0,2435.0,2572.0,4719,943,249
2022,2022.04,1,Ganze Stadt,5,Bestand Mietverträge über 20 Jahre,2,2 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,816.0,799.0,833.0,652.0,638.0,677.0,786.0,779.0,806.0,935.0,915.0,969.0,1574,1021,52
2024,2024.04,1,Ganze Stadt,5,Bestand Mietverträge über 20 Jahre,2,2 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,869.0,848.0,890.0,717.0,709.0,732.0,846.0,825.0,869.0,984.0,950.0,1030.0,1595,1067,60
2022,2022.04,1,Ganze Stadt,5,Bestand Mietverträge über 20 Jahre,3,3 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,906.0,892.0,919.0,745.0,733.0,760.0,893.0,884.0,910.0,1027.0,1010.0,1051.0,4577,2890,97
